"Area","ED","Energy","SS","ResidueLength","PairNumber","NewPredicted"
10721.5,38062.2,-4162.48,129,205,1751,2.40568906570652
10991.8,86042.1,-2960,18,220,3450,3.21747766509038
3736.8,1436.3,-634.175,33,40,100,3.29242981725223
5993.3,4806,-1941,18,111,345,0.467263166666667
20309.9,291719,-11688,242,487,10978,0.0191289333333333
12888.4,171016,-6821,63,299,7334,0.151803705513784
7478.85,14147.7,-2295.22,90,120,809,3.42541747910164
17083.7,94618,-8497,92,365,3633,0.014611
9883.77,40847.4,-2722.39,60,159,2181,4.32033785873016
5382.92,4179.02,-1499.3,122,88,318,2.6124371156819
9454.53,27663.8,-2981.07,101,158,1403,3.65850727367411
7325.19,9277.63,-3214.06,21,138,554,2.33214507865634
23999.8,456954,-12000,51,483,15505,4.10573242376628
10673,26600.5,-3313.23,28,174,1415,4.34245966865721
11059.1,68879.1,-5251.84,148,247,3373,1.33718235410236
16312.6,115767,-4260,55,271,4426,2.59776534086512
9434.08,38959,-4287.95,20,193,2118,2.46313934751082
9666.72,33029,-3402.85,87,176,1922,3.81298047291196
12626.8,72561.2,-5540.34,47,262,3211,4.74503517111834
20368.8,193489,-4900,93,403,6746,3.44247841392528
17021.5,164814,-7371.08,65,352,6744,2.13282603110842
12773,70843,-5725,29,210,2894,0.926552145367378
5205.31,4188,-2124,15,88,318,0.535511903846154
13768.3,50902.1,-4040,47,234,2464,2.83502560232849
20676.4,244148,-6136,48,368,5025,0.2566462
23848.5,469672,-10800,59,483,15505,2.86974912217142
9564.01,12121.7,-2630.01,92,136,619,3.76040854256536
20911.5,163006,-8730,93,449,5537,1.95775590329241
6766.37,7326,-2343,57,108,517,2.4099794341914
8754.11,27397,-4556,13,142,1255,0.054784
10106.7,27928,-2735.9,76,158,1403,4.19220788410637
17682.4,174076,6300,66,403,6746,3.00748968957483
13123.6,78485.7,-5040,63,272,3539,4.1008843580151
6910.78,4085.64,-2288.24,70,101,249,3.95784395777406
10201.5,43306,-4973,33,199,2061,0.3933494
14025.1,92585.3,-5580,50,254,3885,2.83209320186999
7976.18,7585.75,-1690,161,109,486,4.3862256726277
11176,18259.1,-3331.32,55,172,973,3.30901914981237
8368.98,26567,-3618,28,165,1524,2.00222663575248
9784.19,36750.7,-3060,41,196,1997,4.22270800033256
14703.1,93227,-5737,47,311,3802,1.01268755860447
10996.9,87333.1,-2390,14,220,3450,3.10562296140428
5757.49,11120.1,-1915.98,21,102,764,4.03455342721699
7511.6,14204.6,-2351.32,82,120,809,3.15082288747411
11172.1,48737,-5984,176,233,2325,0.0851791333333333
8253.66,22740,-1810,23,138,1206,1.2750182
6796.84,14057.7,-1527.94,12,96,804,2.63392699878692
13128.5,59784.8,-3640,71,223,2822,4.34456344136897
10445.5,84668.3,-2010,25,220,3450,3.21133847382379
24511,474472,-10700,45,483,15505,2.64862806754256
9297.16,30430,-3162.94,116,171,1747,4.69279142355162
13011.9,70519.9,-5529.93,42,262,3211,4.72990104658438
6726.28,12062.3,-1807.84,8,105,765,2.3709317786535
2726.91,52.5799,-430,92,33,5,3.62039169764062
13432.5,60792.1,-5420,27,247,2754,3.50689402432475
9756.25,38530,-2126,34,209,1524,2.01335978802498
15547.5,67787,-6540,61,273,2129,1.44005206670523
13392.7,79963.8,-5160,48,272,3539,3.7099705833784
9282.91,29260.1,-3378.18,31,179,1626,4.46953374505573
19176.5,299930,-10794,87,407,10820,0
6363.31,9414,-2356,34,101,586,1.65187529323139
5398.82,4276.59,-717,10,79,317,2.13578872180687
12639.7,70542.2,-5318.65,70,262,3211,4.54753241371543
8825.51,35892,-3519,40,175,1868,1.96298345701351
11741,52851.3,-4344.44,99,209,2534,4.68211544491564
8936.12,28128.2,-2820.32,95,156,1521,3.6040127584087
5055.64,2870.85,-1199.41,47,67,224,3.43258665978537
9020.21,17476.2,-4127.4,30,183,931,1.41047781117355
8648.61,15678,-3176,77,125,889,0.169770673684211
6779.08,12811.6,-1540.87,31,96,804,3.15935277587832
24235.6,275831,-12900,83,540,8870,3.2623078932822
14257,79237.5,-7189.59,58,320,3466,4.18193858642722
8067.24,9426.1,-2960.66,21,138,554,3.3429477267976
5799.93,6030,-1152,12,80,316,0.874304780569908
8087.84,23021,-2302,17,145,1357,0.823871334920635
9910,35151.4,-4456.41,129,208,1691,4.27233560301862
4208.38,2173.98,-1051.37,20,54,165,1.6273983619635
7383.83,12007,-1608,26,145,768,0.408484697895903
9976.33,36430,-4388.08,117,208,1691,4.37054795022767
4209.06,2179.4,-1036.21,20,54,165,1.62398767336715
4513.02,4068.02,-1363.32,23,72,340,4.19166322889402
23288.5,279622,-9205.06,72,468,9276,4.76014236732289
9464.38,10028.9,-1660,47,154,587,2.64162041043758
5849.32,4670,-2029,46,95,344,0.476171962107396
7368.76,9526.94,-1150,26,102,516,4.24977414244838
3867.66,2203.3,-1034.09,21,54,165,1.75714320598267
9262.44,28718.5,-3305.19,35,179,1626,4.44475371397313
14189.6,59502.1,-6690.93,158,305,2610,2.24699948053953
12269.5,57637.3,-2200,37,223,2822,4.16918869508434
8513.96,26319.7,-2320,30,156,1364,3.53425823106041
9332.9,26774,-2360,31,156,1364,3.28169405968038
14511.3,170352,-8728,40,339,7341,0.0449867809523809
6819.83,5250.37,-1460,8,79,292,1.92274603878302
8802.65,27497.3,-1910,45,156,1364,3.39573405040691
8626.26,21900,-3695,17,147,1018,0.0336095
13262.2,46178,-5749.48,48,273,2061,4.04012896207389
12625.4,79552.2,-4770,37,272,3539,3.13614438686492
11889.8,114530,-4270,43,235,4905,2.27053649795041
8071.87,14318.6,-1963.13,91,120,809,3.37288043037966
18327.5,175790,-12389,45,430,6635,0.0951464333333333
13718.2,143417,-6182.51,179,308,6057,3.18532696310523
6795.8,12570.1,-1849.35,12,105,765,2.5053152496809
10138.3,26292.9,-3235.61,24,174,1415,3.80120617828169
7516.98,9270.66,-3089.5,20,138,554,2.26657971040036
7588.46,4175.55,-1600,29,86,205,2.33252592113997
5347.14,4136.87,-2420,12,79,292,3.26601290506826
13372,190854,-8983,252,350,7945,0.0102566666666667
11956.1,74055.4,-2910,26,249,3630,1.68621577178188
12895.3,60001.1,-5590,26,247,2754,2.99671195313034
5600.53,7611.03,-1890.14,75,104,457,2.2002121563349
10132.6,32119,-3410.33,76,176,1922,3.71591465526158
8184.05,8281,-4037,16,137,399,0.0656511
11167.7,112064,-3070,54,235,4905,2.42583893074822
10900,37792.9,-3090,41,196,1997,3.72951187859564
8374.31,9399.96,-2667.47,98,130,490,1.89297878186564
7880.02,8991.08,-1420,21,102,516,4.46883000516933
12895,59376,-6706,42,281,2541,0.169777952631579
12710,88837,-6240,52,302,3891,0.280146333333333
26071.4,255509,-7480,94,537,8350,3.62308717412443
12925.8,81599,-6817,62,265,3292,0.253226333333333
11197,79880.6,-5720,37,272,3539,1.82939281293349
6663.65,4945.65,-2053.07,28,107,346,2.39706412215288
21183.2,324568,-13759,323,482,10983,0.0187893333333333
3820.78,1454.91,-1014.97,42,52,133,2.05622502890619
8445.43,11069.7,-3180.11,36,156,654,3.90194352427893
7995.06,9015.01,-2858.76,27,138,554,2.80585082192201
4534.61,3397.19,-1070.32,43,60,243,1.61393376123713
4268.21,2013.37,-1076.53,5,63,166,3.0734668155917
6850.9,4364,-2641,19,111,272,0.470438177777778
11604.3,34115.6,-3720,51,234,1581,1.8757011349035
23904.3,276650,-9670,105,537,8350,3.17676099713237
7799.87,16190,-2635,22,137,810,0.5755829
6327.04,5299.65,-2070,7,79,292,1.81285537988957
13670.9,77654.4,-5432.38,32,262,3211,4.28027971167584
12756,68486,-4464,38,264,2681,0.6307661
10707.6,20770,-2326,21,110,655,1.04749144018912
12827.8,83655.8,-2990,30,220,3450,3.30161954650071
11797.7,34617.4,-2860,22,234,1581,1.80357574598461
13869.1,66809.9,-3810,49,224,2192,3.4262162272265
13667.8,80111.3,-5450,45,272,3539,3.54252153151387
14366.1,173121,-6332,86,320,6522,0.42571074
8986.39,17200.1,-4252.16,35,183,931,1.40522248657411
10036.3,51996.9,-2640,37,188,2599,3.53749617795286
8231.33,9469.98,-2806.49,97,130,490,1.9480144953608
22876.7,414869,-12806,95,509,13313,0.20999431025641
6763.03,7251.57,-2400,158,109,486,4.26042049732908
7167.38,5621.85,-1840,16,79,292,1.63678634192208
13385.7,158829,-6132,65,306,7090,0.488680253132832
5410.99,4273.35,-1750,21,85,343,2.04942483766362
12833.3,146095,-5999,61,317,6400,0.669604315789474
8902.07,24049.4,-2939.3,24,154,1252,3.43718099220779
10832.4,47380,-5304,60,201,2316,0.225218666666667
3926.41,2174.68,-1130.91,20,54,165,1.55088371174148
4883.25,3228,-1698,11,72,226,0.3627206
8628.43,29360.4,-1997.39,35,132,1513,3.61461178888889
4087.59,2310.6,-1042.97,22,54,165,0.921540549833803
11423.5,39269,-3990.33,110,205,1751,4.09546876502927
20644,173815,-5490,101,449,5537,2.23415420843007
3954.47,1444.89,-1003.39,42,52,133,2.05859673524506
11409,33376,-3886,24,168,1211,0.3198654
8678.42,25827.7,-2420,28,156,1364,3.33526774090174
12856,95849,-6398,44,259,4146,0.180387066666667
3838.69,1444.28,-1005.58,42,52,133,2.06109112777039
9585.89,26095.7,-3396.21,27,174,1415,3.59415448108517
3959.56,1472.27,-946.372,42,52,133,2.10961129685961
5208.86,3135.02,-1179.71,37,67,224,3.49634898235917
14581.8,112831,-8850,60,338,4723,0.0404596666666667
13324.1,137340,-5968.22,176,279,5626,2.06242096857147
10725.9,37881.7,-4077.25,112,205,1751,2.96442338654678
5465.85,4221.11,-1493.68,122,88,318,2.76535124602819
9944.07,36296.1,-3820,43,196,1997,4.54934828797737
11366.8,55567,-6302,122,237,2679,0.0805451
6164.25,7671.4,-2200,18,102,516,3.303635496568
14388.7,67810.7,-3400,58,224,2192,3.44508733626191
23304.3,278144,-9721.79,71,468,9276,4.7059845325501
6856.01,5413.24,-2170,8,79,292,1.69074629139647
16317.7,137623,-9070,83,449,5537,2.06904651425585
10556.3,49268.8,-5010,26,216,2677,2.78752327414195
13693.2,45616.8,-2480,42,234,1581,2.53049961397197
21684.6,514203,-12439.8,133,540,18067,2.34417388115378
9005.99,12426.5,-2672.12,93,136,619,3.22664855712196
8060.63,29645.5,-3969.08,42,179,1626,2.31199276209735
17060.9,190062,-6680,53,390,7459,3.57793437448393
9269.4,26717.1,-3419.42,45,174,1415,3.56081531881211
7227.66,13730,-2369,28,120,813,0.743858224792078
7056.68,11808,-4137,27,115,803,0.123655233333333
12650.3,46367,-5934.87,63,273,2061,4.3404899363393
9388.22,27247.8,-2924,94,158,1403,3.40110114027142
15584.2,246354,-6758,64,360,8725,0.229370165853658
6410,5179.39,-2380,57,79,292,1.64424969302031
8588.78,26821.5,-2540,33,156,1364,3.20854496192994
15496.8,128042,-8414,251,325,5739,0.001366
16746.5,59076,-11599,90,354,2330,0.2836417
8355.73,21771,-3423,73,156,1211,0.862405005494506
7477.83,4889.23,-1960,19,86,205,2.86773277619048
11109.5,43303.4,-3370,20,196,1885,2.77994475334933
9516.41,37831,-3576.71,52,180,2054,4.59346171712781
4456.48,3060.4,-1245.17,31,71,249,3.55563491985082
9903.3,36390.2,-4830,35,196,1997,3.13665552075644
22571.5,516371,-10921.9,113,540,18067,3.88446975176526
9063.3,23613,-3635,24,158,1258,0.269260466666667
5221.12,3526.35,-789.216,49,51,132,2.88141414932469
13138.9,89889.3,-5580,62,254,3885,3.05672184304626
16658.2,137142,-8453,83,375,5426,0.100375988888889
11214.7,81200,-7183,140,253,3970,0.543111087301588
12404.3,73728.5,-3780,29,249,3630,1.93879916386523
24545.8,471687,-13800,35,483,15505,2.4008041718436
2478.68,51.0363,-559,6,33,5,1.16973310213211
8718.89,11511.4,-3327.88,42,156,654,3.75320321704363
10631.9,27523.1,-4207.29,38,214,1469,3.33260541223439
13019.7,114306,-3180,39,235,4905,2.81392915158333
9121.26,10166.8,-2290,33,154,587,2.58654292773454
5925.06,7643,-3609,11,108,487,0.295010943478261
13540.8,51676.6,-2870,44,234,2464,3.04910245767017
19548.5,161497,-8910,88,388,6290,3.67193187132327
4585.12,4104.16,-1370,15,79,317,2.41496978092707
10102.4,49292.3,-5120,42,216,2677,2.70790338978746
13560.7,139655,-5720,31,315,5844,2.15971308158082
25436.6,281385,-11500,83,540,8870,3.19012779589301
10435.6,28705.8,-3804.91,73,214,1469,4.21669704845126
7639.75,15775.9,-2729.66,74,134,970,3.64984061639611
12830.7,115169,-2980,43,235,4905,2.42463665531386
10364.4,59120.7,-4535.66,98,217,2904,2.30045453937605
11223.7,91969,-4929,41,230,4241,0.425003072222222
20184.2,183128,-4240,78,403,6746,3.32304747290792
6772.75,7659,-4207,12,109,484,0.315981019668737
8704.7,11131.3,-3080.58,37,156,654,4.11403721549122
5536.04,4149.42,-1548.34,123,88,318,2.21702283667847
4990.86,3275.41,-1162.53,29,71,249,3.62716231471773
11796.1,53810,-3978,34,235,2460,2.54957747657713
3974.61,2203.07,-1147.9,22,54,165,1.5406986787459
12402.8,75233,-6065,76,248,3538,0.397062
9293.86,13624.8,-2839.02,16,148,729,4.20907388716798
4359.93,2059.16,-1060.72,7,63,166,2.98391118880385
6123.31,4963.28,4910,29,85,343,2.03039188298142
16071.1,192851,-9540,53,390,7459,2.6153852566622
13097.7,79842.1,-7020,42,272,3539,2.56290857593599
5189.83,4370.62,-1490,20,85,343,2.42374481196179
11254.4,43140.8,-2140,68,223,2059,2.68090477287674
10084,10370.1,-1890,39,154,587,2.49484412626467
8130.62,11988.4,-2560.04,83,128,693,2.66086881877866
5559.51,10634.7,-2005.96,33,102,764,4.27587330709321
8627.92,9540,-2159,44,134,487,1.13871037435898
18349.8,161641,-11500,87,388,6290,3.49284738826417
18448.4,202825,-8580,51,390,7459,3.86051711262777
13224.3,82194,-9924,102,330,3715,0.0440716666666667
14395.8,79281.5,-7271.55,66,320,3466,4.34578740053972
16106.6,137559,-9240,83,449,5537,1.98068358092252
12905.3,66038,-8059,60,286,2901,0.0235978
6865.16,9301.76,-3209.6,22,138,554,2.67829775290928
7751.4,9454,-1967,14,141,584,1.45500725204216
5756.71,4789.96,-1320,20,85,343,1.0982285567306
9154.7,16925.5,-4320.51,37,183,931,0.922645063247345
12181.7,73788.1,-4410,21,249,3630,1.8221502577973
10320,35123.2,-4472.45,125,208,1691,4.24923590220124
9972.31,22175,-4675,33,184,1210,0.774436584559885
18112.1,219938,-11279,80,380,7226,0.140882647619048
8162.41,10459,-3456,12,114,549,0.351653844444444
10362.8,30853.9,-3004.41,99,171,1747,4.40336900729101
9747.68,32137,-5479,44,165,1690,0.041711
6380.73,7437.4,-2150,158,109,486,4.31020928535131
7058.34,9603.81,-2517.39,19,123,621,1.94096540667126
4907.6,3015.32,-1230.76,42,67,224,4.05176418192855
13138.2,52427.9,-6124.04,56,288,2334,4.20132947864948
9552.34,16681,-3841,88,172,973,2.84714720333092
11995.1,87520.3,-2280,18,220,3450,3.46938115651366
8132.28,9525.59,-2889.77,19,138,554,3.65000755801107
14103.9,102425,-5685.63,150,281,4061,4.59410096397621
5304.7,4505,-1884,15,97,322,0.938206632298137
13806.9,141333,-4710,49,315,5844,2.84747078742
13720.3,141887,-5280,41,315,5844,2.68041932118963
16725.1,197745,-10893,318,388,7460,0.315252727272727
4007.73,1456.39,-961.918,42,52,133,2.08552201057024
5586.67,1782.69,-1427.63,15,76,147,4.4712406093034
10943.3,27206,-584,34,166,1111,3.56047287534553
5079.37,3067.15,-1182.62,38,67,224,3.37818151732157
5345.81,4452.99,-1100,20,88,292,2.37787853735961
9566.74,27102.4,-1380,22,166,1414,4.21601303700058
5682.13,4117.44,-1479.35,124,88,318,2.98296904427786
12736.7,75832,-5688,32,242,3060,0.527291648920378
10370.6,57372.2,-3780,48,223,2822,2.7160773707188
21884.5,410997,-8370,62,473,14125,2.58693993202397
20444,192110,-4560,90,403,6746,3.58854760290186
15702.8,115053,-4570,70,271,4426,3.10799181889926
7827.7,7481,-2187,7,97,400,0.817274233333333
5143.99,4398.6,-1660,13,79,292,3.53463438822347
2406.77,50.8227,-667,8,33,5,1.20263880858977
7860.77,9229.4,-3097.47,18,138,554,2.66170617641927
7756.73,4711.47,-2762.2,27,131,271,4.48728973038558
9259.58,27517,-3280,27,194,1521,3.40755384815428
14685.7,52757.5,-2660,38,234,2464,3.19451189677535
12770.9,74941,-6169,26,230,3288,0.64051685
8306.72,12053.4,-2598.95,89,128,693,1.86863307287233
3853.74,2149.74,-1167.6,22,54,165,1.62804471665238
4009.37,1446.68,-961.242,42,52,133,2.0555455346575
12857.6,52380.4,-5090,16,215,2188,3.29965607148757
3987.88,2192.73,-1148.48,20,54,165,1.58048852103519
9406.46,22695.2,-2250,11,166,1111,2.48844372269348
7434.75,5689.3,-1260,16,79,292,1.75235012176059
12939,74465.9,-4230,26,249,3630,2.55026607545243
4554.31,921,-670,7,53,72,0.255454483333333
7852.53,7042.29,-2016.04,36,108,428,4.25472349395604
12685.2,74685.3,-3380,25,249,3630,2.24550592826239
5978.39,7675.44,-1735.06,72,104,457,2.72765678903297
6790.71,4089.3,-2574.81,73,101,249,3.08094624743315
2475.05,52.7779,-596,8,33,5,1.19668113936272
7472.41,14097.5,-2358.41,96,120,809,3.24809647663401
10427.8,49118.6,-4490,26,216,2677,2.80633888903745
6477.57,7392.17,-1457.71,36,93,545,3.16130659764642
19954.4,243924,-11900,98,537,8350,2.35106072915866
10303.7,67843.8,-5537.81,143,247,3373,1.35224002879097
13364.7,90465.4,-4010,44,254,3885,2.75025847434496
10984,43581,-6839,191,230,2061,0.0129113
14337.6,108191,-7580,55,322,4619,2.1839100550455
6378.62,13390.1,-1612.26,16,96,804,2.05971913940824
8120.38,26166.5,-3110,32,156,1364,2.75217347505394
14718.2,134636,-8450,44,311,4925,0.0034944
10095.3,10451.8,-1490,32,154,587,2.53413055857333
9762.95,64812,-5319,33,220,3203,0.214541396491228
13282,75698.3,-3490,35,249,3630,2.76936617309626
4652.18,1101,-528,14,67,74,0.141002866666667
13245.3,89249,-7661,51,267,3889,0.155197933333333
19058.8,186884,-11048,92,439,6521,0.0623958333333333
5854.15,7370.16,-1666.65,54,93,545,2.76958806425001
11353.1,80131,-8135,166,279,3798,0.238126966666667
5864.46,7671.02,-1833.55,76,104,457,2.24348184115881
5760.12,11109.3,-1866.49,41,105,765,3.35592934172698
14477.5,96071,-5727.76,51,294,4249,4.25874391892878
4483.99,2583.83,-1197.91,38,67,224,4.06879000066087
16206.8,115998,-4810,63,271,4426,2.78802865487385
10946.8,86138.8,-3400,33,220,3450,3.04950830134457
8944.21,29057.2,-3368.25,35,179,1626,4.54213708436975
5259.65,4773.61,-1249.39,17,72,340,4.24245143925653
14504.1,104172,-1876,50,339,4439,1.64799334444444
9361.69,12592.1,-2543.56,75,136,619,4.63750774389237
11202.1,35439,-5864,41,270,1643,0.161974725
9603.46,27772.1,-2922.91,100,158,1403,3.72750282685998
8700.82,17284,-2718.01,77,142,844,3.22769162977072
8414.71,17111,-2896.77,83,142,844,3.05226275370269
5040.31,3804.6,-1150,13,79,317,2.18868279120738
12731.4,55797.2,-3500,64,224,2192,4.12324710944695
9238.75,20452,-3458.78,89,163,1162,3.89316023689452
7929.02,8877,-3570,14,129,521,0.480833366666667
5598.91,1102,-826,24,66,63,0.735751911904762
6259.88,6646.73,-2710,21,119,395,1.36414406666667
7801.68,13927,-2130.12,43,120,809,2.25278644123271
13597.5,41770.7,-2850,50,234,1581,2.26160522628466
4044.93,2195.63,-971.394,20,54,165,1.92130305927654
17549.8,190154,-9967,322,374,6633,0.0135796
9240.35,10029.9,-1380,29,154,587,2.73054654443686
11409.4,50480.1,-5440,24,216,2677,2.8826165277714
11100.4,76049,-7498,46,244,3706,0.393689866666667
6145.48,9138,-2117,7,105,581,0.147327309649123
12171.1,74748.9,-4380,27,249,3630,2.10967194314141
13218.6,51446.8,-2770,44,234,2464,2.84945388410169
11898,46156.3,-4970,21,215,2188,2.79187856874423
4548.93,2819.88,-1394.68,52,67,224,1.88928959278565
11002.8,70251,-6125,110,223,3209,0.411119136442786
7334.17,6997,-3343,15,121,397,0.400426923809524
20675.4,244859,-12900,82,540,8870,2.81072084786845
9868.87,35005,-3824,32,204,1934,2.01176301950647
10073.2,27186.4,-2816.2,77,158,1403,4.25474821199683
10641.6,38424.7,-3866.32,110,205,1751,3.36373836108224
9625.67,29224,-3403,24,170,1467,2.95366117982896
15715.5,168482,-7908,59,390,6294,2.24612626041694
9309.07,72643,-4931,36,216,3454,0.735278562362637
7143.43,17970,-3996,2,110,806,0.546313733333333
6661.86,5361,-2139,5,82,244,0.26364925050505
5936.43,7666.13,-1818.38,74,104,457,2.31654183264091
11007.7,58003.8,-3730,34,223,2822,3.59817446259863
13865,70582,-5621,45,270,3130,1.69304329593255
10648.7,53396,-5518,43,210,2383,0.463794033333333
5892.81,4915.01,16900,29,85,343,1.90756564908308
15098.8,66975,-4212,40,229,2603,1.78165170371176
6310.09,5432.27,-2380,16,79,292,1.72962231006751
15649.6,141759,-3510,63,315,5844,3.81294761201013
4674.13,3944.51,-1210,13,79,317,2.36434935707367
5356.78,2237.33,-1627.29,18,82,185,3.16095029487506
11168.3,64955,-6410,156,222,3290,0.151674433333333
7813.38,9183.57,-1000,24,102,516,4.62833261549736
12202.2,41137,-6143,36,216,1754,0.346023733333333
13812.6,139512,-4850,47,315,5844,2.74100227106373
8122.78,5330.75,-1360,29,86,205,2.97675969047619
12953.8,60657.5,-5130,24,247,2754,3.177398765211
8872.56,28649.6,-3410.33,36,179,1626,4.54576819548397
11597.3,39536,-5602,60,229,2127,0.218215866666667
13401.8,61361,-8372,147,314,2836,0.0645770333333333
6366.8,2459,-1312,8,68,130,1.12758745
9388.91,25747.5,-3358.44,33,174,1415,3.61511681930895
14291.1,65271.8,-2140,61,223,2822,4.34087334096756
9615.02,25822.5,-3391.89,25,174,1415,3.68192163329034
10254.9,39993,-5223,32,192,1865,0.0329178
9679.76,29836,-3194.26,106,171,1747,4.6370087367747
9527.61,25180,-2843,29,186,1414,0.549847081868132
11133,26813.1,-4137.09,41,214,1469,3.22156093225326
16066.4,115345,-3890,51,271,4426,2.46856184167435
8008.15,12458,-3366,24,169,695,0.732534138888889
13244.2,90867.7,-4580,41,254,3885,2.81476793743419
13690.2,52665.7,-6117.45,48,288,2334,4.27938769692972
12682.8,74450.8,-4240,26,249,3630,2.64770584473539
2654.25,50.1395,-560,6,33,5,1.26313350882309
4741.31,2407.48,-842.001,44,51,132,3.37524768063831
8906.23,20582.5,-3497.77,92,163,1162,4.11962437338658
12462.7,109412,-5505,21,284,4617,0.613394047252748
6626.46,10442.1,-3180,16,109,689,2.94622144278621
7424.17,5241.91,-2380,23,86,205,2.22364004069264
8951.77,11323.5,-3143.73,52,156,654,4.00700498883783
11376.6,32234.5,409,40,234,1581,2.02710356816493
2586.38,47.7134,-336,6,33,5,1.46883481899059
4179.65,2190.45,-919.427,20,54,165,2.31410272502234
7818.65,9476.29,-2975.24,96,130,490,1.80406701305233
14388,95056.9,-5910.85,58,294,4249,3.84482424991512
19923.7,301046,-8462,80,445,10102,0.120702677777778
15079.9,117879,-6610,55,271,4426,2.45908479010753
4095.87,2250.05,-1080.5,20,54,165,1.57327289180355
7200.48,21532,-2783,186,146,1308,0.251688633333333
14156.9,135304,-9469,206,312,5731,0.0212559
23867.2,470143,-12400,50,483,15505,2.83518501280996
9437.37,39537,-1800,11,196,1885,3.29791169534252
19262.6,260781,-11947,262,424,9408,0
8200.54,11748.7,-2525.3,86,128,693,2.91693778767385
7678.78,12467,-3029,10,133,803,0.5324291
9711.58,12594.5,-2579.86,85,136,619,3.87152665866648
8696.07,11055.3,-3199.2,29,156,654,3.83524355431506
18162.8,202432,-7950,61,390,7459,3.92258927977423
4157.84,1932.93,-1084.97,4,63,166,2.8820212825189
11192.5,42299,-2450,28,166,1414,4.06688453892595
9943.07,34145,-3436.39,92,176,1922,4.03476491152169
6056.62,5194.69,-1460,21,85,343,1.16498215033149
11070.1,73612.8,-5440,19,249,3630,1.67857919996449
4530.17,3294.57,-1222.36,36,71,249,3.4477317796582
8164.92,10384,-2820,52,132,658,1.17444657307692
22272.6,414308,-6940,68,473,14125,3.05703592806986
12758.1,62379,-5684,46,237,2746,1.7347858386837
19208.4,150697,-9030,74,449,5537,1.85394039132119
25362.7,474761,-11300,52,483,15505,2.83300304453108
7107.27,4038.1,-2278.19,70,101,249,3.89633171975335
10635.8,34152,-5527,66,184,1691,0.17263816969697
11750.3,44735.6,-3110,46,223,2059,2.59198634893302
8563.17,24941.5,-3157.75,38,157,1519,2.78766304141484
8250.17,9376.3,-2854.38,23,138,554,3.60543483098922
14217.3,78604.5,-7117.31,80,320,3466,4.5564762386102
8976.19,12457.1,-2441.02,57,136,619,3.98575989824512
11408.7,73530.7,-5340,26,249,3630,1.66019668092999
10116.6,8766,-2512,19,138,400,0.414202080769231
8536.43,9470.7,-2953.96,100,130,490,2.77115680603642
8353.33,4602.88,-2677.06,26,131,271,4.37825606844602
5154.16,3422.31,-793.939,50,51,132,2.30370732009122
5898.7,10981.1,-1789.77,32,102,764,4.28660380859067
5814.6,11133.1,-1958.78,25,102,764,4.11565855259887
9758.43,20341.6,-2486.65,69,163,1162,3.26422125999995
2471.38,50.0522,-489,94,33,5,3.67238300306719
12432.4,92219.9,-4920,63,254,3885,2.80233152348005
13078.1,59655.6,-5380,25,247,2754,3.11584074724465
7314.21,9476.03,-2484.88,13,123,621,2.2335268132578
9441.23,26259.5,-3367.83,29,174,1415,3.65388294004048
